ターミナル,終端,
ホームポイント,居住地点,
カジュアルショップ,普通商店,
ビギナーズエリア,新手区域,
ラグの店,鲁格の店,
ヴァーチャルバトル,虚拟战斗,
スギナミ,杉並,
第三ホーム搬入口,第三居住地搬入口,
コミュニティエリア（バザーエリア）,社群区域(集市区域),
ナカノ,中野,
居住区\nコミュニティエリア（バザーエリア）\nシンジュクドック,居住区\n社群区域（集市区域）\n组合船坞,
シブヤ,渋谷,
イチガヤ,市谷,
シンジュク,新宿,
イケブクロ,池袋,
テンプルナイト ヒイラギ,圣堂骑士 柊,
テンプルナイト サカキ,圣堂骑士 榊,
シナガワ,品川,
カテドラル,大聖堂,
ガイア僧 左近,盖亚僧 左近,
ガイア僧 右近,盖亚僧 右近,
ウエノ,上野,
ワープポータル,传送阵,
クラブ蓬莱,集会所蓬莱,
カジノ ゴールデンアーク,賭場 黄金島,
イケブクロ東地区,池袋東地区,
第三ホーム野営地,第三居住地野営地,
ジャンカーマン,瘾君子,
第三ホーム,第三居住地,
スギナミ魔階坑道,杉並魔階坑道,
オギクボ駅,荻久保駅,
ナカノオベリスク,中野方尖碑,
イノセント,潔白,
ヤギヌマ,柳沼,
新宿バベル,新宿巴别塔,
魔階ナカノ地下遺構,魔階中野地下遺構,
ナカノ茫漠領域,中野茫漠領域,
シブヤオベリスク,渋谷方尖碑,
魔階セルタワー,魔階发射塔,
魔階シブヤクォーツ,魔階渋谷广场,
シブヤ駅,渋谷駅,
イチガヤオベリスク,市谷方尖碑,
旧イチガヤ駐屯地,旧市谷駐屯地,
魔階カグラザカ朱雀洞,魔階神楽坂朱雀洞,
テンプルナイト,圣堂骑士,
聖都アルカディア,聖都阿卡迪亚,
魔階シナガワ神殿騎士廟,魔階品川神殿騎士廟,
東シナガワ大氷穴,東品川大氷穴,
ガイア僧,盖亚僧,
魔階ウエノ砂幻陵,魔階上野砂幻陵,
魔階トチョウ,魔階都庁,
管理コンピューター,管理計算機,
セツの石版,契の石版,
マダムの執務室,女主人の執務室,
賭博師 キノ,賭博師 木野,
ゾウシガヤ霊園,杂司谷霊園,
ジャアクフロスト,邪恶霜精,
Ａ級デビルバスター,Ａ級恶魔爆裂,
ターミナルストーン,終端石,
匣に眠りし思念,,
アビスタワー,深渊之塔,
ジャックランタン,杰克灯笼,
訝しげな悪魔研究士,,
ＤＢカトリ,ＤＢ香取,
カハク,花魄,
ノッカー,门环,
ヤタガラス,八咫烏,
サルタヒコ,猿田彦,
マスドライバー　スダマ,质量加速器 魑魅,
ナカノの野営地,中野の野営地,
サラスヴァティ,妙音天女,
コミュニティエリア案内人,社群区域案内人,
第三ホーム\n新宿バベル,第三居住地\n新宿巴别塔,
